Dialogue,Timestamp,Case,instrument-label,instrument-pred,instrument-correct,action-label,action-pred,action-correct,tissue-label,tissue-pred,tissue-correct,cvid,valid,generated_feedback
so work along the medial aspect of the vas,13:58:48,4,,,,,,,seminal_vesicle_vas,seminal_vesicle_vas,True,c4_s0_0-36-46.avi,True,Maintain gentle traction and ensure clear visualization of the tissue.
so work from this starting edge here and march deeper as you go,17:27:24,7,,,,navigate_position,navigate_position,True,,,,c7_s0_0-44-2.avi,True,"Instrument: bipolar forceps, action: cauterize, tissue: adipose tissue"
so you can do a little more sweeping,09:26:13,21,,,,sweeping_maneuvers,sweeping_maneuvers,True,,,,c21_s0_0-41-0.avi,True,"instrument: Fenestrated Bipolar Forceps, action: Grasping, tissue: Adipose"
"so you can tennis racket it and start at the top and run it not at the urethra, the bladder side and you run it towards the urethra",18:07:02,30,,,,,,,urinary_tract,urinary_tract,True,c30_s0_3-23-36.avi,True,Adjust your grip and maintain tension on the tissue for better visualization.
so you got to decide where...,09:41:22,33,,,,interrupt_action,interrupt_action,True,,,,c33_s0_1-7-9.avi,True,Ensure precise instrument alignment and maintain clear visualization of the tissue.
so your original bladder neck wasn't that big and you kind of stretched it out quite aggressively in the very beginning... so just be aware of that,09:26:18,1,,,,ensure_safety,ensure_safety,True,urinary_tract,urinary_tract,True,c1_s0_0-48-53.avi,True,Maintain gentle traction on the tissue for better visualization.
"so your suture management is already not good, you have to do something",16:43:50,22,suturing_tools,suturing_tools,True,,,,,,,c22_s0_2-37-42.avi,True,Maintain tension on the suture for optimal needle passage.
"so, stop for a second... so you see those... pur your retraction there, that's fine",09:30:32,1,retractor_device,retractor_device,True,,,,,,,c1_s0_0-53-7.avi,True,Ensure precise dissection and maintain clear visualization of the surgical field.
spread here with your scissors and your left hand,09:19:51,17,hand_control,hand_control,True,open_spread,open_spread,True,,,,c17_s0_0-23-23.avi,True,Dissect carefully along the tissue plane with precise instrument control.
staple across the ureter and whole shebang,16:55:05,8,,,,,,,urinary_tract,urinary_tract,True,c8_s0_1-22-46.avi,True,"Instrument: Grasper, Action: Retracting, Tissue: Adipose"
"staple the ureter now, that area there",15:42:02,10,,,,,,,urinary_tract,urinary_tract,True,c10_s0_1-31-24.avi,True,"Instrument: Maryland Bipolar Forceps, Action: Dissect, Tissue: Peritoneum"
"start again, right hands go up",09:22:54,17,hand_control,hand_control,True,,,,,,,c17_s0_0-26-26.avi,True,Adjust the instrument angle for better visualization of the tissue.
"stay close to the prostate... uh, the adenoma, okay? just stay close",14:45:09,2,,,,,,,prostate,prostate,True,c2_s0_0-45-23.avi,True,Maintain steady retraction and ensure clear visualization of the surgical field.
stay down stay down,09:11:23,33,,,,navigate_position,navigate_position,True,,,,c33_s0_0-37-10.avi,True,Maintain gentle traction and ensure clear visualization of the surgical field.
"stay in the correct plane, yup, between the two fascial layers",15:35:44,8,,,,,,,fat_fascial_peritoneal_planes,fat_fascial_peritoneal_planes,True,c8_s0_0-3-25.avi,True,"Instrument: Maryland Bipolar Forceps, Action: Dissection, Tissue: Peritoneum"
stay right next to ureter...so  its unlikely you will cause damange,11:50:15,11,,,,,,,urinary_tract,urinary_tract,True,c11_s0_1-55-43.avi,True,Maintain gentle traction and ensure clear visualization of the surgical field.
stop for a second,10:49:14,31,,,,interrupt_action,interrupt_action,True,,,,c31_s0_1-14-43.avi,True,Maintain steady traction and ensure clear visualization of the surgical field.
stop for a second,12:28:30,28,,,,interrupt_action,interrupt_action,True,,,,c28_s0_2-23-46.avi,True,"Instrument: Maryland Bipolar Forceps, Action: Grasping, Tissue: Peritoneum"
stop look at see your needle driver It's got to be perpendicular to the needle.,17:51:46,12,suturing_tools,suturing_tools,True,,,,,,,c12_s0_2-5-17.avi,True,Maintain gentle tension on the suture for optimal tissue approximation.
sure but take it dont put holes in the urethra,19:14:26,29,,,,,,,urinary_tract,urinary_tract,True,c29_s0_3-25-26.avi,True,Maintain steady traction and ensure clear visualization of the surgical field.
sweep along it because you are going to get into endopelvis,14:38:18,26,,,,sweeping_maneuvers,sweeping_maneuvers,True,,,,c26_s0_0-22-57.avi,True,Maintain gentle traction and proceed with careful dissection of the tissue.
"sweep further, theres another layer",16:01:37,12,,,,sweeping_maneuvers,sweeping_maneuvers,True,,,,c12_s0_0-15-8.avi,True,Maintain gentle traction and ensure clear visualization of the surgical field.
"sweep it into the spoon, help her",14:43:12,26,,,,sweeping_maneuvers,sweeping_maneuvers,True,,,,c26_s0_0-27-51.avi,True,"Instrument: Grasper, Action: Retract, Tissue: Adipose"
sweep it off... start from where you know where the adenoma is and then just sweep it off,15:04:29,18,,,,sweeping_maneuvers,sweeping_maneuvers,True,,,,c18_s0_0-32-24.avi,True,"Instrument: Monopolar Curved Scissors, Action: Dissect, Tissue: Fibrous tissue"
sweep sweep sweep,09:38:40,33,,,,sweeping_maneuvers,sweeping_maneuvers,True,,,,c33_s0_1-4-27.avi,True,Maintain gentle traction and ensure clear visualization of the surgical field.
"sweep this down, sweep this down",14:59:20,20,,,,sweeping_maneuvers,sweeping_maneuvers,True,,,,c20_s0_0-29-39.avi,True,"instrument: ProGrasp forceps, action: grasping, tissue: fibrous tissue"
sweep towards the vein okay? always sweep towards the vein,14:42:35,22,,,,sweeping_maneuvers,sweeping_maneuvers,True,,,,c22_s0_0-36-27.avi,True,Advance the instrument carefully to maintain clear visualization of the tissue.
"sweep, sweep, sweep, that should be a very blunt dissection",09:25:52,21,,,,sweeping_maneuvers,sweeping_maneuvers,True,,,,c21_s0_0-40-39.avi,True,"Instrument: grasper, action: retract, tissue: peritoneum."
sweep...You'll get into the perfect layer... sweep all those strands off....Keep sweeping first. ....Get all those bands off.,16:01:54,12,,,,sweeping_maneuvers,sweeping_maneuvers,True,,,,c12_s0_0-15-25.avi,True,"Instrument: Maryland Bipolar, Action: Dissect, Tissue: Peritoneum"
take it,09:27:28,24,,,,grip_hold,grip_hold,True,,,,c24_s0_0-22-58.avi,True,"Continue dissection carefully, maintaining clear visualization of the tissue planes."
take it,15:35:00,10,,,,grip_hold,grip_hold,True,,,,c10_s0_1-24-22.avi,True,Maintain steady traction and ensure clear visualization of the surgical field.
take it,15:40:51,10,,,,grip_hold,grip_hold,True,,,,c10_s0_1-30-13.avi,True,Maintain gentle traction on the tissue for optimal exposure.
"take it a little higher, you don't want something dangling in your face, that's really annoying.",09:11:32,33,,,,navigate_position,navigate_position,True,,,,c33_s0_0-37-19.avi,True,Maintain gentle traction on the tissue with the instrument.
take it..no up..deep,15:34:09,10,,,,navigate_position,navigate_position,True,,,,c10_s0_1-23-31.avi,True,Ensure precise control of the instruments for optimal tissue manipulation.
take loop w R hand and w L retract,15:20:48,10,hand_control,hand_control,True,,,,,,,c10_s0_1-10-10.avi,True,"Instrument: Maryland Bipolar, Action: Grasping, Tissue: Ureter"
"take one more... yeah, one more bite of that",15:10:29,2,,,,grip_hold,grip_hold,True,,,,c2_s0_1-10-43.avi,True,"Instrument: Needle driver, Action: Suturing, Tissue: Bladder neck"
"that looks too small, looks like there are 2 veins",17:05:12,7,,,,,,,vascular_neurovascular_structures,vascular_neurovascular_structures,True,c7_s0_0-21-50.avi,True,Dissect carefully along the tissue plane to maintain clear visualization.
"that's ___, you can't push that, yeah. it's a vessel right there, right in the middle, yeah, it's not going to push off",12:01:34,28,,,,,,,vascular_neurovascular_structures,vascular_neurovascular_structures,True,c28_s0_1-56-50.avi,True,Maintain steady traction and ensure clear visualization of the surgical field.
that's a whole bowel up there,15:35:33,23,,,,,,,gastrointestinal_tract,gastrointestinal_tract,True,c23_s0_0-14-35.avi,True,Continue with precise dissection and maintain clear visualization of the tissue plane.
that's it you can grab that peritoneum and thats it on the left,08:56:32,19,hand_control,hand_control,True,grip_hold,grip_hold,True,fat_fascial_peritoneal_planes,fat_fascial_peritoneal_planes,True,c19_s0_0-42-46.avi,True,Maintain gentle traction and ensure clear visualization of the surgical field.
that's probably the vein that you just cut,14:52:02,22,,,,,,,vascular_neurovascular_structures,vascular_neurovascular_structures,True,c22_s0_0-45-54.avi,True,Maintain gentle traction and ensure clear visualization of the surgical field.
thats fine but youre taking a lot of urethra,19:07:51,29,,,,,,,urinary_tract,urinary_tract,True,c29_s0_3-18-51.avi,True,Maintain gentle traction on the tissue for better visualization.
"thats it, okay now close the peritineum",08:45:48,19,,,,,,,fat_fascial_peritoneal_planes,fat_fascial_peritoneal_planes,True,c19_s0_0-32-2.avi,True,"Instrument: Grasper, Action: Hold, Tissue: Mesh"
thats not how you break a stitch man,17:03:51,22,suturing_tools,suturing_tools,True,,,,,,,c22_s0_2-57-43.avi,True,"instrument: Large Needle Driver, action: Suturing, tissue: NaN"
thats not the correct plane...its between the two fascial layers,15:35:48,8,,,,,,,fat_fascial_peritoneal_planes,fat_fascial_peritoneal_planes,True,c8_s0_0-3-29.avi,True,"Instrument: Bipolar forceps, Action: Grasping, Tissue: Peritoneum"
thats the capsule fibers,16:44:23,9,,,,,,,muscular_capsular_structures,muscular_capsular_structures,True,c9_s0_0-36-40.avi,True,Maintain steady traction and ensure clear visualization of the surgical field.
thats the ves,15:31:33,22,,,,,,,seminal_vesicle_vas,seminal_vesicle_vas,True,c22_s0_1-25-25.avi,True,Advance the instrument carefully to dissect the tissue precisely.
"thats too much, take less",16:57:40,26,,,,grip_hold,grip_hold,True,,,,c26_s0_2-42-19.avi,True,Maintain gentle traction and ensure clear visualization of the surgical field.
the lateral... lateral stuff... lateral,10:37:53,1,,,,,,,miscellaneous,miscellaneous,True,c1_s0_2-0-28.avi,True,Maintain steady retraction and ensure clear visualization of the surgical field.
"the reason why I like it wide, is because I like to be able to see the shape of the prostate as you are doing this",09:56:05,33,,,,,,,prostate,prostate,True,c33_s0_1-21-52.avi,True,Maintain steady pressure and ensure clear visualization of the surgical field.
the vein dangling in your face... the vein,16:25:21,32,,,,,,,vascular_neurovascular_structures,vascular_neurovascular_structures,True,c32_s0_1-17-35.avi,True,Maintain gentle traction on the tissue for better visualization.
"the whole point is to make the ureter completely irrelevant to your work, right?",09:22:28,33,,,,,,,urinary_tract,urinary_tract,True,c33_s0_0-48-15.avi,True,Advance the instrument gently to dissect the tissue further.
"there are times when you have to hold the posterior bladder neck, and there are times you don't have to",13:55:57,4,,,,,,,prostate,prostate,True,c4_s0_0-33-55.avi,True,Maintain steady retraction and ensure clear visualization of the surgical field.
"there thats where you are going to grab, do you see it?",08:51:58,19,,,,grip_hold,grip_hold,True,,,,c19_s0_0-38-12.avi,True,"Instrument: Fenestrated Bipolar Forceps, Action: Grasping, Tissue: Mesh"
"there you go, that is finally the first good one there, okay?",11:00:31,21,,,,,,,vascular_neurovascular_structures,vascular_neurovascular_structures,True,c21_s0_2-15-18.avi,True,"instrument: Large Needle Driver, action: Suture, tissue: NaN"
"there's a few open vessels... yeah, just burn those",10:44:10,1,,,,,,,vascular_neurovascular_structures,vascular_neurovascular_structures,True,c1_s0_2-6-45.avi,True,Maintain steady traction and ensure clear visualization of the surgical field.
"theres a vessel there, careful of vessel",16:09:00,6,,,,,,,vascular_neurovascular_structures,vascular_neurovascular_structures,True,c6_s0_1-19-2.avi,True,"Instrument: Bipolar forceps, Action: Coagulating, Tissue: Adipose tissue"
"theres something bleeding down there, buzz it directly",17:16:04,13,energy_device,energy_device,True,coagulate,coagulate,True,,,,c13_s0_1-51-30.avi,True,Maintain gentle traction and ensure clear visualization of the surgical field.
"these little things that are tethering the vein up, you can buzz them or sweep them down",15:52:12,32,energy_device,energy_device,True,coagulate,coagulate,True,vascular_neurovascular_structures,vascular_neurovascular_structures,True,c32_s0_0-44-26.avi,True,Maintain gentle traction and proceed with careful dissection.
this first one you have to travel a little bit,16:43:23,22,,,,navigate_position,navigate_position,True,,,,c22_s0_2-37-15.avi,True,"Instrument: Large Needle Driver, Action: Suturing, Tissue: NaN"
this is a vessel here that is tethering you,17:47:58,29,,,,,,,vascular_neurovascular_structures,vascular_neurovascular_structures,True,c29_s0_1-58-58.avi,True,Maintain gentle traction on the tissue for better visualization.
this is ileostomy,15:42:41,23,,,,,,,gastrointestinal_tract,gastrointestinal_tract,True,c23_s0_0-21-43.avi,True,"Instrument: Maryland Bipolar, Action: Dissect, Tissue: Peritoneum"
"this is the vein, there's a vein there",09:49:36,24,,,,,,,vascular_neurovascular_structures,vascular_neurovascular_structures,True,c24_s0_0-45-6.avi,True,"Instrument: Maryland Bipolar, Action: Grasping, Tissue: Periurethral tissue"
"this is whats tethering the vein, see how its all wispy and everything here",15:56:15,32,,,,,,,vascular_neurovascular_structures,vascular_neurovascular_structures,True,c32_s0_0-48-29.avi,True,Maintain gentle traction and ensure clear visualization of the surgical field.
this isnt like a strength suture,12:48:39,31,suturing_tools,suturing_tools,True,,,,,,,c31_s0_3-14-8.avi,True,Ensure precise suture placement and maintain tension on the tissue.
those are all vessels,17:45:37,29,,,,,,,vascular_neurovascular_structures,vascular_neurovascular_structures,True,c29_s0_1-56-37.avi,True,"Instrument: grasper, Action: retract, Tissue: ureter"
"those little red vessels, tiny vessels. I would burn them as you see them, because if you rip them off they are going to bleed",09:32:56,33,energy_device,energy_device,True,,,,vascular_neurovascular_structures,vascular_neurovascular_structures,True,c33_s0_0-58-43.avi,True,Maintain gentle traction on the tissue for better visualization.
"to save yourself this re grab, when you grab your needle for the first time, act like you know what your next bite is going to be. does that make sense?",16:49:21,22,suturing_tools,suturing_tools,True,,,,,,,c22_s0_2-43-13.avi,True,"instrument: Large Needle Driver, action: Suturing, tissue: NaN"
"too far, come a little bit closer to the prostate",09:59:18,33,,,,,,,prostate,prostate,True,c33_s0_1-25-5.avi,True,Maintain steady instrument control and ensure clear visualization of the surgical field.
"travel, travel",11:09:28,21,,,,navigate_position,navigate_position,True,,,,c21_s0_2-24-15.avi,True,"instrument: Large Needle Driver, action: Suturing, tissue: Prostate"
try and get under the SV first before you do that,11:08:14,31,,,,navigate_position,navigate_position,True,seminal_vesicle_vas,seminal_vesicle_vas,True,c31_s0_1-33-43.avi,True,Adjust your grip and maintain steady traction on the tissue.
"try something, instead of holding this, put your closed left hand in here and your push it this way",09:05:52,17,hand_control,hand_control,True,,,,,,,c17_s0_0-9-24.avi,True,"Instrument: ProGrasp Forceps, Action: Retracting, Tissue: Peritoneum"
try to grab the end of the sac and bring the sac up,08:53:04,19,,,,grip_hold,grip_hold,True,miscellaneous,miscellaneous,True,c19_s0_0-39-18.avi,True,"Instrument: Large Needle Driver, Action: Suturing, Tissue: Mesh and surrounding tissue."
try to open that space up,14:49:07,22,,,,open_spread,open_spread,True,,,,c22_s0_0-42-59.avi,True,Continue with precise dissection and maintain clear visualization of the surgical field.
turn,17:55:34,12,,,,rotate_turn,rotate_turn,True,urinary_tract,urinary_tract,True,c12_s0_2-9-5.avi,True,"Instrument: Needle driver, Action: Suturing, Tissue: Bladder neck"
turn,18:58:30,29,,,,rotate_turn,rotate_turn,True,,,,c29_s0_3-9-30.avi,True,Maintain gentle traction on the tissue while securing the suture.
turn,19:04:59,29,,,,rotate_turn,rotate_turn,True,,,,c29_s0_3-15-59.avi,True,Maintain steady traction on the tissue for optimal exposure.
turn,19:09:27,29,,,,rotate_turn,rotate_turn,True,,,,c29_s0_3-20-27.avi,True,Maintain steady instrument control and ensure clear visualization of the tissue.
turn dont pull,17:52:48,12,,,,rotate_turn,rotate_turn,True,,,,c12_s0_2-6-19.avi,True,Ensure precise suture placement and maintain tension on the tissue edges.
"turn dont push, turn",17:52:37,12,,,,rotate_turn,rotate_turn,True,,,,c12_s0_2-6-8.avi,True,Ensure precise suture placement and maintain tension on the tissue edges.
turn more,19:05:01,29,,,,rotate_turn,rotate_turn,True,,,,c29_s0_3-16-1.avi,True,Adjust your grip and maintain tension on the tissue for better control.
turn turn turn turn,19:16:32,29,,,,rotate_turn,rotate_turn,True,,,,c29_s0_3-27-32.avi,True,Maintain steady traction and ensure clear visualization of the surgical field.
"uh huh, yes this little band",14:44:05,15,None,None,True,,,,,,,c15_s0_0-35-8.avi,True,Maintain steady instrument control and ensure clear visualization of the surgical field.
"uh if anything, I would want to stay short of how far you want to go distally, because you don't want to get to the rectourethralis muscle",09:54:26,1,,,,,,,muscular_capsular_structures,muscular_capsular_structures,True,c1_s0_1-17-1.avi,True,Advance the instrument gently to dissect the tissue precisely.
uh you should have...im ok taking together but i want a good exposure of the artery...I want to see it..,15:54:37,6,,,,,,,None,None,True,c6_s0_1-4-39.avi,True,"Instrument: bipolar forceps, action: coagulating, tissue: bleeding vessel"
up high near the liver,09:13:55,24,,,,,,,miscellaneous,miscellaneous,True,c24_s0_0-9-25.avi,True,"instrument: robotic grasper, action: retracting, tissue: peritoneum"
vessel right there ok?,16:37:31,13,,,,,,,vascular_neurovascular_structures,vascular_neurovascular_structures,True,c13_s0_1-12-57.avi,True,Dissect further to expose the tissue plane clearly.
watch your arm,16:20:32,32,,,,inspect,inspect,True,,,,c32_s0_1-12-46.avi,True,Maintain gentle traction and ensure clear visualization of the surgical field.
"watch your suture, you don't want that to touch the camera lens. if you smudge your camera you will lose your console time",16:40:45,22,suturing_tools,suturing_tools,True,,,,,,,c22_s0_2-34-37.avi,True,Maintain steady tension on the suture for optimal tissue approximation.
well uh in this case a 3-0 on a SH,16:57:46,13,suturing_tools,suturing_tools,True,,,,,,,c13_s0_1-33-12.avi,True,Ensure precise dissection and maintain clear visualization of the surgical field.
when this kind of a thing is not available,13:56:07,4,,,,,,,prostate,prostate,True,c4_s0_0-34-5.avi,True,Maintain steady traction and ensure clear visualization of the surgical field.
"when youre at the hilum your strokes have to be smaller...because lets say theres a lumbar vein here...big stride could have ripped it right thru, if you make your moves smaller, and...much smaller injury",15:52:02,6,,,,,,,vascular_neurovascular_structures,vascular_neurovascular_structures,True,c6_s0_1-2-4.avi,True,"Instrument: grasper, Action: retract, Tissue: NaN"
where is it? look at your 4th arm,18:22:11,12,auxiliary_arm,auxiliary_arm,True,,,,,,,c12_s0_2-35-42.avi,True,Adjust the instrument position for better visualization of the tissue.
where is the bowel?,15:42:02,23,,,,,,,gastrointestinal_tract,gastrointestinal_tract,True,c23_s0_0-21-4.avi,True,"Instrument: grasper, Action: retract, Tissue: connective"
"where is the ureter, I want to see the ureter",16:01:46,32,,,,,,,urinary_tract,urinary_tract,True,c32_s0_0-54-0.avi,True,"Instrument: grasper, Action: retract, Tissue: bowel"
where is this artery in the scan?,09:48:14,24,,,,,,,vascular_neurovascular_structures,vascular_neurovascular_structures,True,c24_s0_0-43-44.avi,True,Ensure precise dissection and maintain clear visualization of the tissue.
where you come out has to be closer to where you just came out on the urethra,18:58:08,29,,,,,,,urinary_tract,urinary_tract,True,c29_s0_3-9-8.avi,True,Maintain gentle traction on the tissue for better visualization.
wheres the ureter,10:16:54,11,,,,,,,urinary_tract,urinary_tract,True,c11_s0_0-22-22.avi,True,Ensure precise instrument control and maintain clear visualization of the tissue.
wheres your other stitch,19:17:17,29,suturing_tools,suturing_tools,True,,,,,,,c29_s0_3-28-17.avi,True,Ensure precise instrument positioning for optimal tissue manipulation.
why is this thing up in the air like this? your fourth arm,14:28:32,3,auxiliary_arm,auxiliary_arm,True,,,,,,,c3_s0_0-23-29.avi,True,Maintain steady traction and ensure clear visualization of the surgical field.
whyd you let go of the stitch,19:16:25,29,suturing_tools,suturing_tools,True,,,,,,,c29_s0_3-27-25.avi,True,Ensure precise instrument control and maintain clear visualization of the tissue.
work toward the bladder first bc its more avascular,16:47:46,13,,,,,,,urinary_tract,urinary_tract,True,c13_s0_1-23-12.avi,True,Maintain gentle traction and ensure clear visualization of the surgical field.
yeah,09:32:03,33,,,,None,None,True,,,,c33_s0_0-57-50.avi,True,Maintain gentle traction on the tissue for better visualization.
"yeah but you need to drop it up there, see that? that's where you drop it",09:09:04,17,,,,release_instrument,release_instrument,True,,,,c17_s0_0-12-36.avi,True,"Instrument: Prograsp forceps, Action: Retract, Tissue: Peritoneum"
yeah go,19:15:18,29,,,,None,None,True,,,,c29_s0_3-26-18.avi,True,Continue suturing with precision to ensure secure tissue approximation.
yeah just buzz that,10:28:08,31,,,,coagulate,coagulate,True,,,,c31_s0_0-53-37.avi,True,"instrument: grasper, action: retract, tissue: adipose"
yeah lift that up and now you can gently buzz and sweep the stuff off,15:49:15,32,energy_device,energy_device,True,coagulate,coagulate,True,None,None,True,c32_s0_0-41-29.avi,True,"Instrument: Maryland bipolar forceps, Action: Dissect, Tissue: Peritoneum"
yeah maybe cut that tissue,15:21:29,15,,,,cut_divide,cut_divide,True,,,,c15_s0_1-12-32.avi,True,Ensure precise instrument positioning for optimal tissue manipulation.
yeah pre buzz it,15:58:08,32,,,,coagulate,coagulate,True,,,,c32_s0_0-50-22.avi,True,Maintain steady instrument control and ensure clear visualization of the surgical field.
yeah the stump,17:11:41,7,,,,,,,None,None,True,c7_s0_0-28-19.avi,True,Maintain gentle traction and ensure clear visualization of the surgical field.
"yeah, I think those needles are reasonably big, so i think it should be fine",15:17:08,15,suturing_tools,suturing_tools,True,,,,,,,c15_s0_1-8-11.avi,True,Advance the needle driver carefully through the tissue.
"yeah, I think you just got to keep it low",16:12:42,32,,,,navigate_position,navigate_position,True,,,,c32_s0_1-4-56.avi,True,Advance the instrument carefully to manipulate the tissue.
"yeah, deeper doesn't mean more far away, deeper just means deeper",15:10:52,2,None,None,True,,,,,,,c2_s0_1-11-6.avi,True,"Instrument: Needle driver, Action: Suturing, Tissue: Bladder neck"
"yeah, it'll grow close to the muscle, just open it here",14:28:48,3,,,,open_spread,open_spread,True,,,,c3_s0_0-23-45.avi,True,Maintain gentle traction and proceed with careful dissection of the tissue.
"yeah, just open there up... the point is to separate... look up here, look up here",09:16:17,21,,,,open_spread,open_spread,True,,,,c21_s0_0-31-4.avi,True,"instrument: Fenestrated Bipolar Forceps, action: Grasping, tissue: Peritoneum"
"yeah, so I would not waste your time doing this, you see you had to let go of the needle... just throw and you cinch all at the end, it's just a little bit more efficient",11:18:21,1,suturing_tools,suturing_tools,True,,,,,,,c1_s0_2-40-56.avi,True,Ensure the suture is securely tied and tension is appropriate.
"yeah, so that's the problem... okay come back... so I'm going to take over for a quick second, okay?",09:23:37,1,,,,navigate_position,navigate_position,True,,,,c1_s0_0-46-12.avi,True,"Instrument: grasper, Action: retract, Tissue: prostate"
"yeah, so the goal is to eventually grab the tip of the SV, you may not be able to do that immediately but grab whatever you can and then lift",09:41:24,1,,,,grip_hold,grip_hold,True,seminal_vesicle_vas,seminal_vesicle_vas,True,c1_s0_1-3-59.avi,True,Ensure precise instrument positioning and maintain clear visualization of the surgical field.
"yeah, you can, you can... I thought when you were talking about the lateral thing I thought you were talking about the anteiror part",09:22:44,1,,,,,,,miscellaneous,miscellaneous,True,c1_s0_0-45-19.avi,True,Maintain steady traction and ensure clear visualization of the surgical field.
"yeah, you could probably get rid of the vas now",09:40:40,1,,,,,,,seminal_vesicle_vas,seminal_vesicle_vas,True,c1_s0_1-3-15.avi,True,Maintain gentle traction and ensure clear visualization of the surgical field.
yes,14:51:00,26,,,,,,,prostate,prostate,True,c26_s0_0-35-39.avi,True,Continue with precise dissection and maintain clear visualization of the surgical field.
"yes like that, what you were doing it but a little bit more force",09:38:52,33,None,None,True,,,,,,,c33_s0_1-4-39.avi,True,Ensure precise dissection and maintain clear visualization of the surgical field.
"yes, drop it, beautiful, just like that uh huh",14:46:58,15,,,,release_instrument,release_instrument,True,,,,c15_s0_0-38-1.avi,True,Maintain steady instrument control and ensure clear visualization of the tissue.
you can even come 1 mm closer to the prostate,09:14:19,1,,,,,,,prostate,prostate,True,c1_s0_0-36-54.avi,True,Adjust the instrument angle for better access to the tissue.
you can grab it,15:31:24,10,,,,grip_hold,grip_hold,True,,,,c10_s0_1-20-46.avi,True,Ensure secure grasp on tissue with the instrument. Proceed with careful dissection.
"you can open that up though, yeah that thing",10:31:37,1,energy_device,energy_device,True,open_spread,open_spread,True,,,,c1_s0_1-54-12.avi,True,"Instrument: Suction, Action: Suctioning, Tissue: NaN"
you can regrab and turn more,19:16:38,29,,,,grip_hold,grip_hold,True,,,,c29_s0_3-27-38.avi,True,Maintain gentle traction on the tissue for optimal exposure.
you can release your 4th arm,15:43:18,10,auxiliary_arm,auxiliary_arm,True,,,,,,,c10_s0_1-32-40.avi,True,"instrument: grasper, action: retract, tissue: adipose"
you can see the... you can grab the tissue posterior,13:56:34,4,,,,grip_hold,grip_hold,True,,,,c4_s0_0-34-32.avi,True,Maintain gentle pressure with the instrument on the tissue.
"you can start with that, and then... once you free it up a little bit... get a better grab",09:35:32,1,,,,grip_hold,grip_hold,True,,,,c1_s0_0-58-7.avi,True,Maintain steady traction and ensure clear visualization of the surgical field.
"you didn't get it, you didn't get mucosa",10:19:04,16,,,,,,,gastrointestinal_tract,gastrointestinal_tract,True,c16_s0_1-24-8.avi,True,Continue suturing the tissue with precise needle driver movements.
"you don't have to buzz for fun, buzz on that crease, on the frindge",14:31:03,2,,,,coagulate,coagulate,True,,,,c2_s0_0-31-17.avi,True,Maintain gentle traction and ensure clear visualization of the surgical field.
"you don't want to get into bleeders there, you want to know where your ureter is, you don't want to injure your ureter, you want to know where your nerve is. The cognitive load of thinking about all of those structures should be less and less as you identify each of these structures and not only identify it but take them out of concern.",09:25:54,33,,,,,,,vascular_neurovascular_structures,vascular_neurovascular_structures,True,c33_s0_0-51-41.avi,True,Maintain gentle traction on the tissue for optimal exposure.
"you dont have to hook it, you can buzz it",15:52:17,32,,,,coagulate,coagulate,True,,,,c32_s0_0-44-31.avi,True,"Instrument: bipolar forceps, action: cauterize, tissue: blood vessel"
"you got to actually where the bleeder is, you have no idea where it is",14:48:01,2,,,,,,,vascular_neurovascular_structures,vascular_neurovascular_structures,True,c2_s0_0-48-15.avi,True,"Instrument: Grasper, Action: Retract, Tissue: NaN"
you got to grab,19:18:53,29,,,,grip_hold,grip_hold,True,,,,c29_s0_3-29-53.avi,True,Ensure precise instrument control and maintain clear visualization of the tissue.
you gotta grab it,19:00:29,29,,,,grip_hold,grip_hold,True,,,,c29_s0_3-11-29.avi,True,Maintain steady tension on the suture for optimal tissue approximation.
you need help?,15:30:50,23,None,None,True,,,,,,,c23_s0_0-9-52.avi,True,Advance the instrument gently to dissect the tissue.
you need to adjust for the amount of bladder neck you have here with minimal amount of the urethra,12:26:42,25,,,,,,,urinary_tract,urinary_tract,True,c25_s0_1-11-55.avi,True,"Instrument: needle driver, action: suturing, tissue: bladder neck"
you need to grab the peritineum down there,08:51:13,19,,,,grip_hold,grip_hold,True,fat_fascial_peritoneal_planes,fat_fascial_peritoneal_planes,True,c19_s0_0-37-27.avi,True,"instrument: fenestrated bipolar forceps, action: grasping, tissue: mesh"
you saw what you did right?..you literally just poked 2 holes in the same vein cause of a lack of awareness,15:45:04,6,energy_device,energy_device,True,,,,vascular_neurovascular_structures,vascular_neurovascular_structures,True,c6_s0_0-55-6.avi,True,Maintain gentle traction and ensure clear visualization of the surgical field.
you see how you're grabbing your needle its gonna spin like that,17:51:42,12,suturing_tools,suturing_tools,True,,,,,,,c12_s0_2-5-13.avi,True,Continue suturing the tissue with precision and maintain tension on the suture.
"you see that, right? you can actually even see how thin your posterior bladder neck is... yeah",09:28:20,1,,,,,,,urinary_tract,urinary_tract,True,c1_s0_0-50-55.avi,True,Maintain steady retraction and ensure clear visualization of the surgical field.
"you see the edge of the prostate back there, yup, so don't go too close, stay a little lower. if you're working medially, you should be holding medially",12:18:48,28,,,,,,,prostate,prostate,True,c28_s0_2-14-4.avi,True,Advance the instrument carefully to dissect the tissue precisely.
you should find the ureter pretty soon,09:19:56,33,,,,,,,urinary_tract,urinary_tract,True,c33_s0_0-45-43.avi,True,"Instrument: Grasper, Action: Dissect, Tissue: Peritoneum"
