Dialogue,instrument,action,tissue,generated_feedback,alignment_score
so  hang on for a second,[NONE],[hang on],[NONE],Maintain your focus and proceed with caution.,3
is something holding the bladder back?,[NONE],[NONE],[bladder],Focus on the bladder for the next step.,3
wheres the urethra?,[NONE],[NONE],[urethra],Focus on the urethra. Ensure precision and avoid unnecessary manipulation.,3
dont go that wide,[NONE],[don't go wide],[NONE],Maintain precision in your movements.,3
....give yourself more slack,[NONE],[give more slack],[NONE],Ensure adequate slack in the system for optimal maneuverability.,5
"bigger loop, bigger loop",[NONE],"[bigger loop, bigger loop]",[NONE],Use a bigger loop for better maneuverability.,5
Be careful the way you are holding the artery,[NONE],[be careful the way you are holding],[artery],Be careful with how you are holding the artery.,5
"what your doing is good, just dont be aggressive with it",[NONE],[dont be aggressive],[NONE],Avoid being aggressive with your movements.,5
see how it moves in the prostate? thats where you go,[NONE],"[see how it moves, go there]",[prostate],Observe the prostate movement closely.,4
"what are we doing, why are we using acute stitches?",[stitches],[NONE],[NONE],Ensure stitches are ready for the next step.,2
"get a better bite, its a big load",[NONE],[get a better bite],[NONE],Get a better bite for improved precision.,4
push that thing down. push it down,[NONE],[push down],[NONE],Ensure controlled pressure while pushing down.,4
"use your right hand, grasp it",[right hand],"[use, grasp]",[NONE],Use the right hand to grasp the tissue.,5
"start a little lower, then come back up on it",[NONE],"[start, come back up]",[NONE],Ensure the instruments are properly positioned before proceeding.,2
"Hang on, grab with the...",[NONE],"[hang on, grab]",[NONE],Maintain a steady grip.,4
so first open the lateral side,[NONE],[open],[lateral structure],Open the lateral structure carefully.,5
"no, open the superficial layer first",[NONE],[open],[NONE],Specify the instrument and tissue for the open action.,2
follow the contour of the gland,[NONE],[follow],[prostate contour],Follow the prostate contour carefully.,5
"I think you're too wide on the prostate, too wide",[NONE],[NONE],[prostate],Focus on the prostate for precise dissection.,3
"be a little careful there, everytime you do that, you have to check to that it doesn't feel like the prostate",[NONE],"[be careful, check]",[prostate],Be careful and check the prostate.,3
"Well this case was really wicked, everything was bad tissue planes. But normally you should be able to see the countour of the back and the site.",[NONE],[NONE],"[tissue planes, back, site]",Identify and maintain clear tissue planes at the back site.,3
Pretty good. Now get underneath,[NONE],[get underneath],[NONE],Ensure clear visualization before proceeding.,2
"Why are you just working with 2 hands, where is your fourth arm?",[fourth arm],[NONE],[NONE],Position the fourth arm for optimal access.,2
Guys why don't you get a robotic weck? i mean it would've been over 10 minutes ago,[robotic weck],[NONE],[NONE],Ensure the robotic weck is ready for use.,4
yeah take him out of tberg?,[NONE],[take out],[NONE],Clarify the action and tissue involved before proceeding.,2
did you check rectal integrity?,[NONE],[NONE],[rectal integrity],Ensure rectal integrity is maintained throughout the procedure.,3
okay examine your finger,[NONE],[examine],[NONE],Continue examining the area carefully.,3
"come on over do the anastomosis, make it look pretty",[NONE],"[come over, do, make]",[NONE],Clarify your action and target tissue before proceeding.,2
"What is going on, where did this needle come from?",[needle],[NONE],[NONE],Position the needle for the next step.,2
Why is there a third needle?,[needle],[NONE],[NONE],Position the needle for the next step.,2
Buzz some of the bleeders,[electrocautery],[Buzz],[vein],Use electrocautery to buzz the vein carefully.,3
"Even if he wants to do CIC, he better has this claim the prostate so he will not have significant problems passing the catheter in, either way he benefits from that.",[catheter],[NONE],[prostate],Position the catheter carefully near the prostate.,3
how long did he have catheter?,[catheter],[NONE],[NONE],Position the catheter appropriately for the next step.,2
you want to open here maybe?,[NONE],[open],[NONE],"Open carefully, ensuring clear visualization of the surgical field.",3
and then move a little so you go anterior a little bit,[NONE],[move a little],[NONE],Adjust your position slightly for better access.,4
uh huh bring it down,[NONE],[bring down],[NONE],Proceed with the next step when ready.,2
closer to the prostate,[NONE],[NONE],[prostate],Focus on the prostate for the next step.,3
i would come closer to the prostate,[NONE],[come closer],[prostate],Come closer to the prostate for better visualization.,5
"come up here, next to your left hand, up here",[left hand],[come up],[NONE],Adjust your left hand position for better visibility.,3
cut down here,[NONE],[cut down],[NONE],Specify the instrument and tissue before proceeding with the cut.,2
cut down here,[NONE],[cut down],[NONE],Specify the instrument and tissue before proceeding with the cut.,2
"uh huh, uh huh, i like it close to the adenoma, uh huh yup",[NONE],[keep it close],[adenoma],Keep the adenoma close for better control.,4
"uh huh, i like the anterior move, yes",[NONE],[move anteriorly],[NONE],Move anteriorly with precision and awareness of surrounding structures.,4
"yup, drop that, that's a capsule",[NONE],[drop],[capsule],Drop the capsule gently.,5
"yes, drop it, beautiful, just like that uh huh",[NONE],[drop],[NONE],Ensure the instrument is secure before proceeding.,2
"just drop it, just push against it so its at the apex, yup nice, I agree with you",[NONE],"[drop, push]",[NONE],Ensure precise control while dropping and pushing.,4
move to the left when you're done with this,[NONE],[move to the left],[NONE],Move to the left with precision.,3
"yes get the rest there, just push it towards the sphincter",[NONE],"[get, push]",[sphincter],Gently push the sphincter.,3
"uh huh, uh huh, yes, get that little band there",[NONE],[get],[NONE],Clarify the target and instrument before proceeding.,2
the catheter in?,[catheter],[NONE],[NONE],Position the catheter appropriately for the next step.,3
just cut down,[NONE],[cut down],[NONE],Specify the instrument and tissue before proceeding with the cut.,3
take a peek,[NONE],[take],[NONE],Specify the instrument and tissue for the action.,2
bunker down here on the right side,[NONE],[bunker down],[NONE],Clarify the action and ensure all instruments are properly positioned.,2
lets start from the lateral wall here,[NONE],[start],[lateral wall],Begin by addressing the lateral wall.,5
"yeah, I think those needles are reasonably big, so i think it should be fine",[needles],[NONE],[NONE],Position the needles for the next step.,2
"grab the tail, lift it, lift lift, cinch it nicely",[NONE],"[grab, lift, cinch]",[NONE],Ensure secure handling and precise movement.,3
don't get the anterior one,[NONE],[don't get],[NONE],Avoid unnecessary movements.,2
yeah maybe cut that tissue,[NONE],[cut],[NONE],Specify the instrument and tissue before proceeding with the cut.,3
"yup, uh huh, use the tight one",[NONE],[use],[NONE],Specify the instrument and tissue for the action.,2
"cut the tails, cut the tail, make them short, like that",[NONE],"[cut, cut, make]",[NONE],Specify the instrument and tissue before proceeding with the action.,2
did you get the needle out?,[needle],[NONE],[NONE],Position the needle precisely for the next step.,2
"pull the needle catheter, start closing the bladder","[needle, catheter]","[pull, start closing]","[needle catheter, bladder]",Start closing the bladder with the needle and catheter.,3
"go here, over here",[NONE],[go],[NONE],Proceed with caution and maintain awareness of the surgical field.,2
small needle,[needle],[NONE],[NONE],Position the needle for the next step.,3
you can start closing,[NONE],[start closing],[NONE],Proceed with closing when ready.,5
where's the needle,[needle],[NONE],[NONE],Position the needle for the next step.,3
"come out with that, come out with that, throw it back through",[NONE],"[come out, come out, throw back through]",[NONE],Clarify your action sequence for better precision.,2
"yeah take it out and set yourself up, put your fourth arm here and grab and pull up",[fourth arm],"[take out, set up, put, grab, pull up]",[NONE],Use the fourth arm to assist with the current task.,3
show yourself the mucosa,[NONE],[show],[mucosa],Show the mucosa clearly.,5
"until you grab it, okay",[NONE],[grab it],[NONE],Specify the instrument and tissue before proceeding to grab.,3
", look up, you need to grab this",[NONE],"[look up, grab]",[NONE],Focus on the task at hand.,2
"look up, grab it with your fourth arm",[fourth arm],"[look up, grab]",[NONE],Use the fourth arm to look up and grab as needed.,5
no stop,[NONE],[stop],[NONE],Stop immediately and await further instructions.,4
take control of your fourth arm,[fourth arm],[take control],[NONE],Take control of the fourth arm.,5
"grab, and see how your wrist is like this, lift it up, yeah, now you have tension and its not going to flop when you try to drive your needle",[needle],"[grab, lift]",[NONE],Grab and lift the needle carefully.,4
"okay, lets go come on, cinch everyone down. no leak wednesday",[NONE],[cinch],[NONE],Ensure the cinch is secure and tension is appropriate.,4
pull the last stitch before you pull up on this one,[stitch],[pull],[NONE],Pull the stitch gently to maintain tension.,3
get mucosa?,[NONE],[get],[NONE],Clarify the target and instrument before proceeding.,2
", if you're going to keep running this one, regrab your fourth arm closer and pull it up",[4th arm],"[regrab, pull]",[NONE],Regrab and pull with the 4th arm.,4
where is your fourth arm?,[fourth arm],[NONE],[NONE],Position the fourth arm for optimal access.,3
grab right here and pull it up,[NONE],"[grab, pull up]",[NONE],Ensure a secure grip before pulling.,3
"do not hit the balloon, okay?",[NONE],[do not hit],[NONE],Maintain awareness of your surroundings to avoid unintended contact.,4
grab the peritoneum and show it to yourself,[NONE],"[grab, show]",[peritoneum],Show the peritoneum clearly.,3
throw one more and we will give you the new one okay?,[NONE],[throw],[NONE],Ensure the needle is secure before proceeding with the throw.,3
grab it so you can see the mucosa,[NONE],[grab],[mucosa],Grab the mucosa gently.,3
cinch it down,[NONE],[cinch down],[NONE],"Cinch down carefully, ensuring no undue tension on surrounding structures.",4
"good, what are you going to do with your fourth arm?",[fourth arm],[NONE],[NONE],Position the fourth arm for optimal access.,2
press the barbed part on the peritoneum next time,[NONE],[press],[peritoneum],Press gently on the peritoneum.,4
you're looped around the catheter okay?,[catheter],[NONE],[NONE],Position the catheter appropriately for the next step.,2
"stop, look, look in",[NONE],"[stop, look, look in]",[NONE],Pause and assess the surgical field carefully.,4
"go in and look, this is looped around the catheter",[catheter],"[go in, look]",[NONE],Advance the catheter and inspect the area carefully.,4
undo it,[NONE],[undo],[NONE],Undo the last action carefully.,4
"so stop, pull from up here, pull from the loop",[NONE],"[stop, pull, pull]",[NONE],Stop and pull back carefully.,3
come on,[NONE],[come on],[NONE],Ensure all systems are ready before proceeding.,2
pull up on that,[NONE],[pull up],[NONE],Ensure controlled movement while pulling up.,4
okay now pull this through,[NONE],[pull],[NONE],Ensure controlled tension while pulling.,3
get mucosa,[NONE],[get],[mucosa],Gently get the mucosa.,4
"you didn't get it, you didn't get mucosa",[NONE],[NONE],[mucosa],Focus on the mucosa.,2
"go, this part should be fast. the pull through should be fast",[NONE],"[go, be fast, be fast]",[NONE],Maintain steady focus and proceed efficiently.,4
start taking it in two if you cant see okay?,[NONE],[start taking],[NONE],Clarify the action and tissue before proceeding.,2
hang on you got to see it,[NONE],"[hang on, see it]",[NONE],Maintain focus and observe the surgical field closely.,4
stick your instrument in there,[NONE],[stick],[NONE],Clarify the action and target tissue before proceeding.,2
"like the balloon is there, you gotta know where you're sticking your needle","[balloon, needle]",[NONE],[NONE],Select an action for the balloon and needle instruments.,3
"I would prefer you see it before you drive your needle in, okay?",[needle],[see],[NONE],Ensure the needle is visible in the surgical field.,5
turn,[NONE],[turn],[NONE],Ensure precise control while turning.,4
cinch it,[NONE],[cinch],[NONE],Ensure the cinch is secure and tension is appropriate.,4
throw one for good luck,[NONE],[throw],[NONE],Ensure your throw is precise and controlled.,3
throw one for good luck,[NONE],[throw],[NONE],Ensure the suture is secure before proceeding.,2
tie,[NONE],[tie],[NONE],Ensure secure knot placement.,5
tie first,[NONE],[tie],[NONE],Ensure secure knot placement.,4
"tie, and then we will test",[NONE],"[tie, test]",[NONE],Clarify the action and tissue involved for accurate guidance.,2
"uh, be careful",[NONE],[be careful],[NONE],Maintain caution throughout the procedure.,5
"deeper bite, you're just getting peritoneum there",[NONE],[deepen],[peritoneum],Deepen your focus on the peritoneum.,3
and im not a real big fan of you grabbing your needle and taking it off screen okay?,[needle],[NONE],[NONE],Position the needle for the next step.,1
like if you grab the suture and pull it off screen its fine because the needle is floppy right?,"[suture, needle]",[NONE],[NONE],Position the suture needle for the next step.,2
"yeah, now grab the suture and pull pull pull, hand over hand pull",[suture],"[grab, pull, pull]",[NONE],Use the suture to grab and pull the tissue gently.,3
"good, lets go we will cinch it down with the next one",[NONE],[cinch down],[NONE],Ensure secure cinching with appropriate tension.,4
cinch it down,[NONE],[cinch down],[NONE],Ensure secure cinching without excessive tension.,4
pull more left hand,[left hand],[pull more],[NONE],Pull more with your left hand.,5
take one more just because i don't want to tie on the same suture line that the other line was,[suture],[take one more],[NONE],Take one more suture.,4
press your left hand up on it,[left hand],[press up],[NONE],Press up gently with the left hand.,5
"even though the bladder is still, make sure you pull towards you okay so you dont bag the balloon",[balloon],[pull towards you],[bladder],Gently pull the balloon towards you to manipulate the bladder.,3
ok can you look down here,[NONE],[look down],[NONE],Adjust your view for better visualization.,4
"okay great, i'll get the drain",[drain],[NONE],[NONE],Position the drain appropriately for optimal fluid removal.,2
rotate it,[NONE],[rotate],[NONE],Ensure controlled rotation to maintain precision.,4
more pressure on the left hand,[left hand],[NONE],[NONE],Maintain awareness of your left hand's position.,3
grab a little closer and pull more so,[NONE],"[grab closer, pull more]",[NONE],Grab closer and pull more as needed.,4
start buzzing,[NONE],[start buzzing],[NONE],Ensure the system is ready before proceeding with any actions.,2
pull more with the left hand while you go,[left hand],"[pull more, go]",[NONE],Pull more with your left hand.,4
"gentle sweep there, push into it",[NONE],"[gently sweep, push]",[NONE],Gently sweep and push with controlled movements.,5
before doing the dua id probably drop the rest of the...,[NONE],[drop the rest],[NONE],Ensure all instruments are safely positioned before proceeding.,2
really expose the dua,[NONE],[expose],[NONE],Ensure clear visualization of the surgical field.,3
do the stuff on the left side,[NONE],[do],[NONE],Clarify the action and tissue before proceeding.,2
buzz there,[electrocautery],[buzz],[NONE],Use electrocautery to buzz when tissue is identified.,3
buzz that really well,[electrocautery],[buzz],[NONE],Use electrocautery to buzz when tissue is identified.,3
push the kidney away from you,[NONE],[push away],[kidney],Push the kidney away gently.,4
"push the kidney away, push the kidney away",[NONE],"[push, push]","[kidney, kidney]",Push gently on the kidney.,3
so bring it towards the left lower quadrant,[NONE],[bring],[NONE],Clarify what you need to bring.,2
left hand towards left lower quadrant,[left hand],[left hand towards left lower quadrant],[NONE],Move the left hand towards the left lower quadrant.,5
"go down, down, down toward the...",[NONE],[go down],[NONE],Adjust your approach downward carefully.,4
always remember its never to early to use your foreceps,[foreceps],[NONE],[NONE],Ensure the forceps are positioned correctly for the next action.,3
"here's the tumor, don't grab the tumor. if you want grab here",[NONE],"[don't grab, grab]",[tumor],Avoid grabbing the tumor.,4
bring it up,[NONE],[bring up],[NONE],Bring up the next instrument when ready.,5
"up, up, up, up, up, more, more, more, more",[NONE],"[up, more]",[NONE],Adjust your movement upward slightly.,4
"pull more on your left hand, more stretch",[left hand],[pull more],[NONE],Pull more with your left hand.,4
"try something, instead of holding this, put your closed left hand in here and your push it this way",[left hand],"[try, put, push]",[NONE],Use the left hand to gently reposition.,4
"open the jaws, and sweep down",[graspers],"[open, sweep down]",[NONE],Open and sweep down with the graspers.,5
instead of grabbing put your left hand open in this plane and hook it this way,[left hand],"[put, hook]",[NONE],Use the left hand to hook the tissue.,5
there's a lot of vessels there so dont....,[NONE],[NONE],[vessels],Focus on the vessels and ensure clear visualization.,3
"another thing is if you are going through some really thick tissue , you should reassess if you are in the right plane",[NONE],[reassess],[tissue],Reassess the tissue carefully.,4
"yeah but you need to drop it up there, see that? that's where you drop it",[NONE],[drop],[NONE],Ensure the instrument is secure before proceeding.,2
"adjust your fourth arm, and pull to retract","[fourth arm, retractor]","[adjust, pull]",[NONE],Adjust the fourth arm retractor for optimal positioning.,4
readjust your fourth arm,[fourth arm],[readjust],[NONE],Readjust the fourth arm for optimal positioning.,4
"grab here, grab here",[NONE],"[grab, grab]",[NONE],Ensure secure grip before proceeding.,3
"now grab this fat here, and pull down towards you",[NONE],"[grab, pull down]",[tissue: fat],Gently pull down the fat tissue.,3
parallel siccors,[scissors],[NONE],[NONE],Position the scissors for the next step.,3
gentle buzz,[electrocautery],[NONE],[NONE],Ensure the electrocautery is ready for use.,3
"pull more with your left hand, more stretch",[left hand],"[pull more, stretch more]",[NONE],Use the left hand to pull and stretch further.,5
its better if you grab here,[NONE],[grab],[NONE],Ensure the instrument is correctly positioned before grabbing.,2
"grab there, pull pull pull",[NONE],"[grab, pull]",[NONE],Ensure secure grip before pulling.,3
you can readjust your fourtharm,[fourth arm],[readjust],[NONE],Readjust the fourth arm for optimal positioning.,4
maybe grab there and stretch a little more,[NONE],"[grab, stretch a little more]",[NONE],Stretch a little more.,4
maybe grab here and see what that gives you,[NONE],"[grab, see]",[NONE],Focus on the target area for better visualization.,3
put your scissors there and your left hand there if you want,"[scissors, left hand]","[put, put]",[NONE],Use the scissors to position precisely.,3
grab this band,[NONE],[grab],[NONE],Ensure the instrument is correctly positioned before grabbing.,3
push that away a little bit,[NONE],[push away a little bit],[NONE],Adjust your positioning slightly for better access.,3
"buzz that, buzz that",[electrocautery],"[buzz, buzz]",[NONE],Use electrocautery cautiously; ensure contact with target tissue before activation.,4
"regrab, don't pull like that",[NONE],"[regrab, don't pull]",[NONE],Regrab gently without pulling.,5
sweep away,[NONE],[sweep away],[NONE],Ensure the area is clear before proceeding.,3
put your scissors there,[scissors],[put],[NONE],Position the scissors carefully for the next step.,4
put your fourth arm here now,[fourth arm],[put],[NONE],Position the fourth arm carefully for optimal access.,4
you constantly have to readjust,[NONE],[readjust],[NONE],Readjust your positioning for optimal access.,4
try to pull rather than push down,[NONE],[pull],[NONE],Ensure controlled tension while pulling.,3
zoom out a little,[camera],[zoom out a little],[NONE],Zoom out slightly for a broader view.,4
pull pull pull pull,[NONE],[pull],[NONE],Ensure controlled tension while pulling.,3
grab this right here,[NONE],[grab],[NONE],Ensure the instrument is correctly positioned before attempting to grab.,3
gentle like right on this blood clot right here,[NONE],[NONE],[blood clot],Address the blood clot promptly to maintain clear visualization.,3
"buzz that, buzz that",[electrocautery],"[buzz, buzz]",[NONE],Use electrocautery cautiously; ensure contact with appropriate tissue.,4
"alright that's pretty good for the duo, lets go down a little bit, and take off some of that stuff",[NONE],"[go down, take off]",[NONE],Clarify your intended action and target tissue before proceeding.,2
grab that,[NONE],[grab],[NONE],Ensure the instrument is correctly positioned before grabbing.,3
scoop that away,[NONE],[scoop],[NONE],Use a suitable instrument to perform the scooping action.,4
go lateral,[NONE],[go lateral],[NONE],Go lateral with precision.,4
hold on,[NONE],[hold on],[NONE],Maintain a steady hold.,4
curve,[NONE],[curve],[NONE],Curve with precision.,4
put the fourth arm here,[fourth arm],[put],[NONE],Position the fourth arm carefully for optimal access.,4
open this space up here,[NONE],[open],[NONE],Specify the instrument and tissue for the open action.,2
open the window,[NONE],[open],[NONE],Ensure the surgical field is clear before proceeding.,2
"open this window, don't do that",[NONE],"[open, don't do]",[NONE],Ensure all instruments are properly positioned before proceeding.,2
i would hook it,[NONE],[Hook],[NONE],Use the hook carefully to manipulate the tissue.,4
spread here with your scissors and your left hand,"[scissors, left hand]",[spread],[NONE],Spread carefully to avoid unintended tissue damage.,3
"you're working in a hole, its okay, but normally you'd want to open this up so you weren't in a hole",[NONE],[open up],[NONE],Clarify the action and target tissue before proceeding.,3
lift up with your left hand more,[left hand],[lift up more],[NONE],Lift up more with your left hand.,5
you have to see the end of the side wall,[NONE],[see],[NONE],Ensure clear visualization of the surgical field.,3
put your left hand up up up,[left hand],[put],[NONE],Position the left hand carefully.,3
there you go open the space up nice and big,[NONE],[open],[NONE],Ensure the surgical field is clear before proceeding.,3
put your right hand here and sweep up,[right hand],"[put, sweep up]",[NONE],Use the right hand to sweep up gently.,4
____ go ahead and support the side wall,[NONE],"[go ahead, support]",[NONE],Proceed with supporting actions as needed.,4
"cut, cut",[NONE],[cut],[NONE],Specify the instrument and tissue before proceeding to cut.,3
leave your right hand in there,[right hand],[leave],[NONE],Maintain focus and prepare for the next step.,2
left hand comes out,[left hand],[NONE],[NONE],Adjust your left hand position for optimal control.,3
realign your left hand,[left hand],[realign],[NONE],Realign your left hand for optimal positioning.,5
lift up with your right hand a little bit,[right hand],[lift up],[NONE],Lift up gently with the right hand.,4
make a window,[NONE],[make],[NONE],Specify the instrument and tissue before proceeding with the action.,2
put your right hand in there and take your left hand out,"[right hand, left hand]","[put, take out]",[NONE],Use your hands to adjust the instruments as needed.,2
look at me  (explains window concept),[NONE],[look],[NONE],Focus on the surgical field for any changes.,3
"start again, right hands go up",[right hand],"[start again, go up]",[NONE],Use the right hand to start again and go up.,5
you gotta see where you're going,[NONE],[see],[NONE],Ensure clear visualization of the surgical field.,4
left hand has to go here,[left hand],[move left hand],[NONE],"Move the left hand carefully, avoiding any unintended contact.",3
you want to leave your left hand there?,[left hand],[leave],[NONE],Maintain focus on the active instrument.,2
your right hand is fine,[right hand],[NONE],[NONE],Maintain awareness of your right hand's position.,3
good go down parallel to the psoas,[NONE],[go down],[NONE],Adjust your approach and proceed with caution.,3
look at me,[NONE],[look],[NONE],Focus on the surgical field for optimal visualization.,2
your left hand is facing this way,[left hand],[NONE],[NONE],Adjust your left hand position for optimal control.,3
"parallel to the psoas, you are perpendicular to the psoas",[NONE],[NONE],[psoas],Identify the psoas muscle clearly before proceeding.,3
pointing to the liver,[NONE],[NONE],[liver],"Focus on the urologic area, not the liver.",1
left hand points to the liver,[left hand],[NONE],[liver],Avoid the liver; focus on urologic structures.,2
"slide to the end, push it in more",[NONE],"[slide, push]",[NONE],Ensure smooth and controlled movements during the slide and push actions.,3
"not your right hand, your left hand","[left hand, right hand]",[NONE],[NONE],Maintain awareness of both instruments' positions.,2
hold up,[NONE],[hold up],[NONE],Maintain current position and await further instructions.,4
"i think we should grab the tail of the kidney and bring it down and up, down and up (talking about how to pull out kidney)",[NONE],"[grab, bring down, bring up]",[kidney],Adjust your approach to the kidney without specific instrument guidance.,2
find the line thats working,[NONE],[find],[NONE],Identify the target area before proceeding.,4
go right here,[NONE],[go right],[NONE],Adjust your movement to the right.,5
clean around the ureter then we can put the weck around it,[weck],"[clean, put]",[ureter],Clean and position the weck on the ureter.,3
go there,[NONE],[go],[NONE],Proceed with caution and maintain awareness of the surgical field.,3
put your ___ and needle driver into it,[needle driver],[put],[NONE],Use the needle driver to position the needle accurately.,3
buzz off buzz off buzz off,[NONE],[buzz off],[NONE],Ensure the electrosurgical unit is inactive.,1
move over here,[NONE],[move],[NONE],Proceed with caution while moving.,3
hold the weck back,[weck],[hold back],[NONE],Use the weck to hold back surrounding structures.,2
now you're going to go back here.... (guiding),[NONE],[go back],[NONE],Retrace your steps carefully.,4
"just use it as a blade, just go back and forth, don't cut",[BLADE],"[use, go back and forth, don't cut]",[NONE],Use the blade with a back-and-forth motion without cutting.,5
"you can close it, close your scissors and go, or you can do it like that, doesn't matter",[scissors],"[close, go, do]",[NONE],Close the scissors carefully.,4
back up with your camera,[camera],[back up],[NONE],Back up the camera for a broader view.,5
you can go down more,[NONE],[go down more],[NONE],Proceed with caution as you adjust your position.,3
"and if you need to adjust your retraction, do it",[retractor],[adjust],[NONE],Adjust the retractor for optimal exposure.,5
so I would extend it from here down,[NONE],[extend it from here down],[NONE],Extend from this point downward.,5
"from here, don't go all the way up there",[NONE],[don't go],[NONE],Pause and reassess the situation.,3
"yup, go",[NONE],[go],[NONE],Proceed with caution and maintain awareness of the surgical field.,4
"no, you keep cutting",[NONE],[keep cutting],[NONE],Continue cutting with precision.,4
get a little more retraction,[retractor],[get more retraction],[NONE],Use the retractor to achieve better exposure.,4
"there you go, keep going",[NONE],[keep going],[NONE],Continue with the current procedure.,5
make sure you keep the midline,[NONE],[keep],[NONE],Maintain current position.,4
stop cutting,[NONE],[stop],[NONE],Pause and reassess the situation.,3
"okay, keep going down",[NONE],[keep going down],[NONE],Continue moving downward.,5
"looks like you're about to pop in right here, yup, so get in now",[NONE],[get in],[NONE],Ensure precise positioning before proceeding.,3
your needle is spinning,[needle],[NONE],[NONE],Position the needle precisely for the next step.,3
"this is a nice, juicy gland",[NONE],[NONE],[gland],Focus on the gland for precise dissection.,2
small detrusor,[NONE],[NONE],[detrusor muscle],Focus on the detrusor muscle.,3
"keep getting those bands off, slowly",[NONE],"[keep getting, slowly]",[NONE],Maintain steady progress.,3
scrape it off,[NONE],[scrape],[NONE],Clarify the target tissue before proceeding with the scraping action.,3
keep going in there,[NONE],[keep going],[NONE],Continue with the current procedure.,5
"good, get those bands off",[NONE],[get off],[NONE],Ensure instruments are clear of any tissue or structures.,3
"get hemostasis there, right next to that",[NONE],[get hemostasis],[NONE],Ensure hemostasis is achieved effectively.,4
stay up against the adenoma,[NONE],[stay up],[adenoma],Maintain elevation of the adenoma.,4
stay right on the adenoma as you go around,[NONE],"[stay right, go around]",[NONE],Maintain your position and navigate around carefully.,3
get those bands away from the prostate,[NONE],[get away],[prostate],Get away from the prostate.,4
"some pumper right here, you can see the pumping going on under the sucker, right here on the side wall... side wall",[sucker],[NONE],"[vein, lateral structure]",Position the sucker near the vein to manage any potential bleeding.,2
"don't go too wide, right here is good",[NONE],[don't go too wide],[NONE],Maintain precision in your movements.,3
sweep it off... start from where you know where the adenoma is and then just sweep it off,[NONE],"[sweep, start, sweep]",[NONE],Begin sweeping gently.,4
"there's something bleeding at about 10 or 11 o'clock position underneath it, so look underneath and just control it now before",[NONE],"[look, control]",[bladder],Control your view and focus on the bladder.,2
a little to the left like 10 o'clock underneath the flap,[NONE],"[move a little to the left, underneath]",[flap],"Move a little to the left, underneath the flap.",4
"okay, keep going",[NONE],[keep going],[NONE],Continue with the current procedure.,5
"okay, go to the other side now",[NONE],[go],[NONE],Proceed with caution and ensure all systems are ready.,2
"see this? right where the sucker is, that's inside the prostate, here",[sucker],[NONE],[NONE],Position the sucker for optimal fluid management.,2
"if you have to throw sutures in there, throw sutures in there... whatever needs to be done",[sutures],[throw sutures],[NONE],"Throw sutures with precision, ensuring proper placement.",3
zoom out and pull and bigger move,[NONE],"[zoom out, pull, move]",[NONE],Zoom out and pull back slightly for better visualization.,4
cinch it down,[NONE],[cinch down],[NONE],"Cinch down carefully, ensuring secure placement.",4
"yup, turn",[NONE],[turn],[NONE],Ensure smooth and controlled movements while turning.,4
round the stitch,[stitch],[round],[NONE],Round the stitch carefully.,4
"oh nevermind, you can T it",[NONE],[T it],[epigastric vessel],Cauterize the epigastric vessel carefully.,2
"good, cinch it down",[NONE],[cinch down],[NONE],Ensure secure tension while cinching.,4
"pull it down, yup, poke it and pull it down",[NONE],"[pull down, poke, pull down]",[NONE],Ensure precise movements and avoid unnecessary actions.,2
"pull your bottom stitch and show it to you, does that help you?",[stitch],[pull],[NONE],Pull the stitch gently to maintain tension.,3
pull the bottom one,[NONE],[pull],[NONE],Ensure controlled tension while pulling.,3
you got to learn how to turn,[NONE],[learn],[pelvic bone],Focus on understanding the pelvic bone anatomy.,2
"yup, cinch it down",[NONE],[cinch down],[NONE],"Cinch down carefully, ensuring secure control.",4
"okay, let's test",[NONE],[test],[NONE],Clarify the action and tissue involved for accurate guidance.,2
"can you zoom in right here, where you tied your suture?","[camera, suture]",[zoom in],[peritoneum],Zoom in on the peritoneum with the camera.,3
zoom in where you tied your suture,"[suture, camera]",[zoom in],[pelvic bone],Zoom in on the pelvic bone with the camera.,2
"zoom in where you tied your suture, please","[suture, camera]",[zoom in],[NONE],Zoom in with the camera for a clearer view.,4
", is that a gigantic suture? how much do you have some fluid in the bladder or no?",[suture],[NONE],[NONE],Prepare the suture for the next step.,2
"get that, yup, yup",[NONE],[get],[NONE],Clarify the target and instrument before proceeding.,2
", you got to learn how to turn the needle, that's fine on the bladder, but when you're suturing the kidney, you're going to rip right through it","[needle, sutures]","[learn, turn]",[NONE],Turn the needle and sutures carefully.,3
"stop there. can we get a new stitch? I don't want the suture lines tied right over each other, okay?","[stitch, suture]","[stop, get, don't tie]",[pelvic bone],Avoid suturing near the pelvic bone.,3
so grab with your fourth arm,[4th arm],[grab],[NONE],Use the 4th arm to stabilize or retract as needed.,4
can you pull up more?,[NONE],[pull up more],[NONE],Pull up more as needed.,4
", for better traction, see if you can grab the stitch, your tied stitch with your fourth arm, instead of the... you know what I'm saying?","[stitch, fourth arm]",[grab],[NONE],Use the fourth arm to grab securely.,3
let go of that,[NONE],[let go],[NONE],Release the current hold.,5
"let go of that with your fourth arm, and then grab this stitch","[fourth arm, stitch]","[let go, grab]",[NONE],Use the fourth arm to let go and grab as needed.,5
"it's harder to lift it up because of bladder swell, that's why, and then push it towards the feet",[NONE],[push],[NONE],Ensure controlled movements while pushing.,3
