Dialogue,instrument,action,tissue,iat_triplet,label_prompt,generated_feedback
pull more with the left hand while you go,[left hand],"[pull more, go]",[NONE],"('[left hand]', '[pull more, go]', '[NONE]')","IAT Triplet:
instrument: [left hand], action: [pull more, go], tissue: [NONE]

Feedback:
",Pull more with the left hand.
"gentle sweep there, push into it",[NONE],"[gently sweep, push]",[NONE],"('[NONE]', '[gently sweep, push]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [gently sweep, push], tissue: [NONE]

Feedback:
",Gently sweep and push with controlled movements.
before doing the dua id probably drop the rest of the...,[NONE],[drop the rest],[NONE],"('[NONE]', '[drop the rest]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [drop the rest], tissue: [NONE]

Feedback:
",Ensure all instruments are safely positioned before proceeding.
really expose the dua,[NONE],[expose],[NONE],"('[NONE]', '[expose]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [expose], tissue: [NONE]

Feedback:
",Ensure clear visualization of the surgical field.
do the stuff on the left side,[NONE],[do],[NONE],"('[NONE]', '[do]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [do], tissue: [NONE]

Feedback:
",Specify the instrument and tissue for the action.
buzz there,[electrocautery],[buzz],[NONE],"('[electrocautery]', '[buzz]', '[NONE]')","IAT Triplet:
instrument: [electrocautery], action: [buzz], tissue: [NONE]

Feedback:
",Use electrocautery to buzz when tissue is identified.
buzz that really well,[electrocautery],[buzz],[NONE],"('[electrocautery]', '[buzz]', '[NONE]')","IAT Triplet:
instrument: [electrocautery], action: [buzz], tissue: [NONE]

Feedback:
",Use electrocautery to buzz when tissue is identified.
push the kidney away from you,[NONE],[push away],[kidney],"('[NONE]', '[push away]', '[kidney]')","IAT Triplet:
instrument: [NONE], action: [push away], tissue: [kidney]

Feedback:
",Gently push the kidney away to improve visibility.
"push the kidney away, push the kidney away",[NONE],"[push, push]","[kidney, kidney]","('[NONE]', '[push, push]', '[kidney, kidney]')","IAT Triplet:
instrument: [NONE], action: [push, push], tissue: [kidney, kidney]

Feedback:
",Gently push the kidney.
so bring it towards the left lower quadrant,[NONE],[bring],[NONE],"('[NONE]', '[bring]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [bring], tissue: [NONE]

Feedback:
",Clarify what you need to bring.
left hand towards left lower quadrant,[left hand],[left hand towards left lower quadrant],[NONE],"('[left hand]', '[left hand towards left lower quadrant]', '[NONE]')","IAT Triplet:
instrument: [left hand], action: [left hand towards left lower quadrant], tissue: [NONE]

Feedback:
",Move the left hand towards the left lower quadrant.
"go down, down, down toward the...",[NONE],[go down],[NONE],"('[NONE]', '[go down]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [go down], tissue: [NONE]

Feedback:
",Adjust your approach and ensure clear visualization before proceeding.
always remember its never to early to use your foreceps,[foreceps],[NONE],[NONE],"('[foreceps]', '[NONE]', '[NONE]')","IAT Triplet:
instrument: [foreceps], action: [NONE], tissue: [NONE]

Feedback:
",Ensure the forceps are positioned correctly for the next step.
"here's the tumor, don't grab the tumor. if you want grab here",[NONE],"[don't grab, grab]",[tumor],"('[NONE]', ""[don't grab, grab]"", '[tumor]')","IAT Triplet:
instrument: [NONE], action: [don't grab, grab], tissue: [tumor]

Feedback:
",Avoid grabbing the tumor.
bring it up,[NONE],[bring up],[NONE],"('[NONE]', '[bring up]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [bring up], tissue: [NONE]

Feedback:
",Bring up the next instrument on the console.
"up, up, up, up, up, more, more, more, more",[NONE],"[up, more]",[NONE],"('[NONE]', '[up, more]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [up, more], tissue: [NONE]

Feedback:
",Adjust your movement upward slightly.
"pull more on your left hand, more stretch",[left hand],[pull more],[NONE],"('[left hand]', '[pull more]', '[NONE]')","IAT Triplet:
instrument: [left hand], action: [pull more], tissue: [NONE]

Feedback:
",Pull more gently with your left hand.
"try something, instead of holding this, put your closed left hand in here and your push it this way",[left hand],"[try, put, push]",[NONE],"('[left hand]', '[try, put, push]', '[NONE]')","IAT Triplet:
instrument: [left hand], action: [try, put, push], tissue: [NONE]

Feedback:
",Use the left hand to gently reposition.
"open the jaws, and sweep down",[graspers],"[open, sweep down]",[NONE],"('[graspers]', '[open, sweep down]', '[NONE]')","IAT Triplet:
instrument: [graspers], action: [open, sweep down], tissue: [NONE]

Feedback:
",Open and sweep down with the graspers.
instead of grabbing put your left hand open in this plane and hook it this way,[left hand],"[put, hook]",[NONE],"('[left hand]', '[put, hook]', '[NONE]')","IAT Triplet:
instrument: [left hand], action: [put, hook], tissue: [NONE]

Feedback:
",Use the left hand to hook the tissue.
there's a lot of vessels there so dont....,[NONE],[NONE],[vessels],"('[NONE]', '[NONE]', '[vessels]')","IAT Triplet:
instrument: [NONE], action: [NONE], tissue: [vessels]

Feedback:
",Focus on the vessels and ensure clear visualization.
"another thing is if you are going through some really thick tissue , you should reassess if you are in the right plane",[NONE],[reassess],[tissue],"('[NONE]', '[reassess]', '[tissue]')","IAT Triplet:
instrument: [NONE], action: [reassess], tissue: [tissue]

Feedback:
",Reassess the tissue carefully.
"yeah but you need to drop it up there, see that? that's where you drop it",[NONE],[drop],[NONE],"('[NONE]', '[drop]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [drop], tissue: [NONE]

Feedback:
",Ensure the instrument is secure before proceeding.
"adjust your fourth arm, and pull to retract","[fourth arm, retractor]","[adjust, pull]",[NONE],"('[fourth arm, retractor]', '[adjust, pull]', '[NONE]')","IAT Triplet:
instrument: [fourth arm, retractor], action: [adjust, pull], tissue: [NONE]

Feedback:
",Adjust the retractor with the fourth arm for optimal exposure.
readjust your fourth arm,[fourth arm],[readjust],[NONE],"('[fourth arm]', '[readjust]', '[NONE]')","IAT Triplet:
instrument: [fourth arm], action: [readjust], tissue: [NONE]

Feedback:
",Readjust the fourth arm for optimal positioning.
"grab here, grab here",[NONE],"[grab, grab]",[NONE],"('[NONE]', '[grab, grab]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [grab, grab], tissue: [NONE]

Feedback:
",Ensure secure grip before proceeding.
"now grab this fat here, and pull down towards you",[NONE],"[grab, pull down]",[tissue: fat],"('[NONE]', '[grab, pull down]', '[tissue: fat]')","IAT Triplet:
instrument: [NONE], action: [grab, pull down], tissue: [tissue: fat]

Feedback:
",Gently pull down the fat tissue.
parallel siccors,[scissors],[NONE],[NONE],"('[scissors]', '[NONE]', '[NONE]')","IAT Triplet:
instrument: [scissors], action: [NONE], tissue: [NONE]

Feedback:
",Position the scissors for the next step.
gentle buzz,[electrocautery],[NONE],[NONE],"('[electrocautery]', '[NONE]', '[NONE]')","IAT Triplet:
instrument: [electrocautery], action: [NONE], tissue: [NONE]

Feedback:
",Ensure the electrocautery is ready for use.
"pull more with your left hand, more stretch",[left hand],"[pull more, stretch more]",[NONE],"('[left hand]', '[pull more, stretch more]', '[NONE]')","IAT Triplet:
instrument: [left hand], action: [pull more, stretch more], tissue: [NONE]

Feedback:
",Use the left hand to pull and stretch further.
its better if you grab here,[NONE],[grab],[NONE],"('[NONE]', '[grab]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [grab], tissue: [NONE]

Feedback:
",Ensure the instrument is correctly positioned before grabbing.
"grab there, pull pull pull",[NONE],"[grab, pull]",[NONE],"('[NONE]', '[grab, pull]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [grab, pull], tissue: [NONE]

Feedback:
",Ensure secure grip before pulling.
you can readjust your fourtharm,[fourth arm],[readjust],[NONE],"('[fourth arm]', '[readjust]', '[NONE]')","IAT Triplet:
instrument: [fourth arm], action: [readjust], tissue: [NONE]

Feedback:
",Readjust the fourth arm for optimal positioning.
maybe grab there and stretch a little more,[NONE],"[grab, stretch a little more]",[NONE],"('[NONE]', '[grab, stretch a little more]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [grab, stretch a little more], tissue: [NONE]

Feedback:
",Stretch a little more as needed.
maybe grab here and see what that gives you,[NONE],"[grab, see]",[NONE],"('[NONE]', '[grab, see]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [grab, see], tissue: [NONE]

Feedback:
",Ensure clear visualization before proceeding with any actions.
put your scissors there and your left hand there if you want,"[scissors, left hand]","[put, put]",[NONE],"('[scissors, left hand]', '[put, put]', '[NONE]')","IAT Triplet:
instrument: [scissors, left hand], action: [put, put], tissue: [NONE]

Feedback:
",Position the scissors carefully in your left hand.
grab this band,[NONE],[grab],[NONE],"('[NONE]', '[grab]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [grab], tissue: [NONE]

Feedback:
",Ensure the instrument is correctly positioned before grabbing.
push that away a little bit,[NONE],[push away a little bit],[NONE],"('[NONE]', '[push away a little bit]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [push away a little bit], tissue: [NONE]

Feedback:
",Push away gently to maintain a clear view.
"buzz that, buzz that",[electrocautery],"[buzz, buzz]",[NONE],"('[electrocautery]', '[buzz, buzz]', '[NONE]')","IAT Triplet:
instrument: [electrocautery], action: [buzz, buzz], tissue: [NONE]

Feedback:
",Use electrocautery cautiously; ensure contact with target tissue before activation.
"regrab, don't pull like that",[NONE],"[regrab, don't pull]",[NONE],"('[NONE]', ""[regrab, don't pull]"", '[NONE]')","IAT Triplet:
instrument: [NONE], action: [regrab, don't pull], tissue: [NONE]

Feedback:
",Regrab gently without pulling.
sweep away,[NONE],[sweep away],[NONE],"('[NONE]', '[sweep away]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [sweep away], tissue: [NONE]

Feedback:
",Clarify the target tissue for sweeping.
put your scissors there,[scissors],[put],[NONE],"('[scissors]', '[put]', '[NONE]')","IAT Triplet:
instrument: [scissors], action: [put], tissue: [NONE]

Feedback:
",Position the scissors carefully for the next step.
put your fourth arm here now,[fourth arm],[put],[NONE],"('[fourth arm]', '[put]', '[NONE]')","IAT Triplet:
instrument: [fourth arm], action: [put], tissue: [NONE]

Feedback:
",Position the fourth arm carefully for optimal access.
you constantly have to readjust,[NONE],[readjust],[NONE],"('[NONE]', '[readjust]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [readjust], tissue: [NONE]

Feedback:
",Readjust your positioning for optimal access.
try to pull rather than push down,[NONE],[pull],[NONE],"('[NONE]', '[pull]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [pull], tissue: [NONE]

Feedback:
",Ensure controlled movement while pulling.
zoom out a little,[camera],[zoom out a little],[NONE],"('[camera]', '[zoom out a little]', '[NONE]')","IAT Triplet:
instrument: [camera], action: [zoom out a little], tissue: [NONE]

Feedback:
",Zoom out slightly for a broader view.
pull pull pull pull,[NONE],[pull],[NONE],"('[NONE]', '[pull]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [pull], tissue: [NONE]

Feedback:
",Ensure controlled movement while pulling.
grab this right here,[NONE],[grab],[NONE],"('[NONE]', '[grab]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [grab], tissue: [NONE]

Feedback:
",Ensure the instrument is correctly positioned before grabbing.
gentle like right on this blood clot right here,[NONE],[NONE],[blood clot],"('[NONE]', '[NONE]', '[blood clot]')","IAT Triplet:
instrument: [NONE], action: [NONE], tissue: [blood clot]

Feedback:
",Address the blood clot promptly to maintain clear visualization.
"buzz that, buzz that",[electrocautery],"[buzz, buzz]",[NONE],"('[electrocautery]', '[buzz, buzz]', '[NONE]')","IAT Triplet:
instrument: [electrocautery], action: [buzz, buzz], tissue: [NONE]

Feedback:
",Use electrocautery to buzz precisely where needed.
"alright that's pretty good for the duo, lets go down a little bit, and take off some of that stuff",[NONE],"[go down, take off]",[NONE],"('[NONE]', '[go down, take off]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [go down, take off], tissue: [NONE]

Feedback:
",Clarify your intended action and target tissue before proceeding.
grab that,[NONE],[grab],[NONE],"('[NONE]', '[grab]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [grab], tissue: [NONE]

Feedback:
",Ensure the instrument is correctly positioned before grabbing.
scoop that away,[NONE],[scoop],[NONE],"('[NONE]', '[scoop]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [scoop], tissue: [NONE]

Feedback:
",Use a suitable instrument to perform the scooping action.
go lateral,[NONE],[go lateral],[NONE],"('[NONE]', '[go lateral]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [go lateral], tissue: [NONE]

Feedback:
",Go lateral with precision.
hold on,[NONE],[hold on],[NONE],"('[NONE]', '[hold on]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [hold on], tissue: [NONE]

Feedback:
",Maintain your current position.
curve,[NONE],[curve],[NONE],"('[NONE]', '[curve]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [curve], tissue: [NONE]

Feedback:
",Curve with precision.
put the fourth arm here,[fourth arm],[put],[NONE],"('[fourth arm]', '[put]', '[NONE]')","IAT Triplet:
instrument: [fourth arm], action: [put], tissue: [NONE]

Feedback:
",Use the fourth arm to position the instrument precisely.
open this space up here,[NONE],[open],[NONE],"('[NONE]', '[open]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [open], tissue: [NONE]

Feedback:
",Specify the instrument and tissue before proceeding with the action.
open the window,[NONE],[open],[NONE],"('[NONE]', '[open]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [open], tissue: [NONE]

Feedback:
","Open carefully, ensuring clear visualization of the surgical field."
"open this window, don't do that",[NONE],"[open, don't do]",[NONE],"('[NONE]', ""[open, don't do]"", '[NONE]')","IAT Triplet:
instrument: [NONE], action: [open, don't do], tissue: [NONE]

Feedback:
",Avoid opening without a specified instrument or target tissue.
i would hook it,[NONE],[Hook],[NONE],"('[NONE]', '[Hook]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [Hook], tissue: [NONE]

Feedback:
",Use the hook carefully to manipulate the tissue.
spread here with your scissors and your left hand,"[scissors, left hand]",[spread],[NONE],"('[scissors, left hand]', '[spread]', '[NONE]')","IAT Triplet:
instrument: [scissors, left hand], action: [spread], tissue: [NONE]

Feedback:
",Spread carefully to avoid unintended tissue damage.
"you're working in a hole, its okay, but normally you'd want to open this up so you weren't in a hole",[NONE],[open up],[NONE],"('[NONE]', '[open up]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [open up], tissue: [NONE]

Feedback:
",Specify the instrument and tissue before proceeding.
lift up with your left hand more,[left hand],[lift up more],[NONE],"('[left hand]', '[lift up more]', '[NONE]')","IAT Triplet:
instrument: [left hand], action: [lift up more], tissue: [NONE]

Feedback:
",Lift up more with your left hand.
you have to see the end of the side wall,[NONE],[see],[NONE],"('[NONE]', '[see]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [see], tissue: [NONE]

Feedback:
",Ensure clear visualization of the surgical field.
put your left hand up up up,[left hand],[put],[NONE],"('[left hand]', '[put]', '[NONE]')","IAT Triplet:
instrument: [left hand], action: [put], tissue: [NONE]

Feedback:
",Position the left hand carefully.
there you go open the space up nice and big,[NONE],[open],[NONE],"('[NONE]', '[open]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [open], tissue: [NONE]

Feedback:
",Ensure the instruments are open and ready for the next step.
put your right hand here and sweep up,[right hand],"[put, sweep up]",[NONE],"('[right hand]', '[put, sweep up]', '[NONE]')","IAT Triplet:
instrument: [right hand], action: [put, sweep up], tissue: [NONE]

Feedback:
",Use the right hand to sweep upwards carefully.
____ go ahead and support the side wall,[NONE],"[go ahead, support]",[NONE],"('[NONE]', '[go ahead, support]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [go ahead, support], tissue: [NONE]

Feedback:
",Proceed with support as needed.
"cut, cut",[NONE],[cut],[NONE],"('[NONE]', '[cut]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [cut], tissue: [NONE]

Feedback:
",Specify the instrument and tissue before proceeding with the cut.
leave your right hand in there,[right hand],[leave],[NONE],"('[right hand]', '[leave]', '[NONE]')","IAT Triplet:
instrument: [right hand], action: [leave], tissue: [NONE]

Feedback:
",Disengage the right hand from the current position.
left hand comes out,[left hand],[NONE],[NONE],"('[left hand]', '[NONE]', '[NONE]')","IAT Triplet:
instrument: [left hand], action: [NONE], tissue: [NONE]

Feedback:
",Maintain awareness of your left hand's position.
realign your left hand,[left hand],[realign],[NONE],"('[left hand]', '[realign]', '[NONE]')","IAT Triplet:
instrument: [left hand], action: [realign], tissue: [NONE]

Feedback:
",Realign your left hand for optimal positioning.
lift up with your right hand a little bit,[right hand],[lift up],[NONE],"('[right hand]', '[lift up]', '[NONE]')","IAT Triplet:
instrument: [right hand], action: [lift up], tissue: [NONE]

Feedback:
",Lift up gently with the right hand.
make a window,[NONE],[make],[NONE],"('[NONE]', '[make]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [make], tissue: [NONE]

Feedback:
",Specify the instrument and tissue before proceeding with the action.
put your right hand in there and take your left hand out,"[right hand, left hand]","[put, take out]",[NONE],"('[right hand, left hand]', '[put, take out]', '[NONE]')","IAT Triplet:
instrument: [right hand, left hand], action: [put, take out], tissue: [NONE]

Feedback:
",Use the instruments to adjust positioning as needed.
look at me  (explains window concept),[NONE],[look],[NONE],"('[NONE]', '[look]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [look], tissue: [NONE]

Feedback:
",Focus on the surgical field for any changes.
"start again, right hands go up",[right hand],"[start again, go up]",[NONE],"('[right hand]', '[start again, go up]', '[NONE]')","IAT Triplet:
instrument: [right hand], action: [start again, go up], tissue: [NONE]

Feedback:
",Use the right hand to start again and go up.
you gotta see where you're going,[NONE],[see],[NONE],"('[NONE]', '[see]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [see], tissue: [NONE]

Feedback:
",Ensure clear visualization of the surgical field.
left hand has to go here,[left hand],[move left hand],[NONE],"('[left hand]', '[move left hand]', '[NONE]')","IAT Triplet:
instrument: [left hand], action: [move left hand], tissue: [NONE]

Feedback:
",Move the left hand carefully to maintain control.
you want to leave your left hand there?,[left hand],[leave],[NONE],"('[left hand]', '[leave]', '[NONE]')","IAT Triplet:
instrument: [left hand], action: [leave], tissue: [NONE]

Feedback:
",Maintain focus and prepare for the next step.
your right hand is fine,[right hand],[NONE],[NONE],"('[right hand]', '[NONE]', '[NONE]')","IAT Triplet:
instrument: [right hand], action: [NONE], tissue: [NONE]

Feedback:
",Maintain awareness of your right hand's position.
good go down parallel to the psoas,[NONE],[go down],[NONE],"('[NONE]', '[go down]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [go down], tissue: [NONE]

Feedback:
",Adjust your approach to maintain precision.
look at me,[NONE],[look],[NONE],"('[NONE]', '[look]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [look], tissue: [NONE]

Feedback:
",Focus on the surgical field for optimal visualization.
your left hand is facing this way,[left hand],[NONE],[NONE],"('[left hand]', '[NONE]', '[NONE]')","IAT Triplet:
instrument: [left hand], action: [NONE], tissue: [NONE]

Feedback:
",Position your left hand for optimal control.
"parallel to the psoas, you are perpendicular to the psoas",[NONE],[NONE],[psoas],"('[NONE]', '[NONE]', '[psoas]')","IAT Triplet:
instrument: [NONE], action: [NONE], tissue: [psoas]

Feedback:
",Focus on the psoas muscle area.
pointing to the liver,[NONE],[NONE],[liver],"('[NONE]', '[NONE]', '[liver]')","IAT Triplet:
instrument: [NONE], action: [NONE], tissue: [liver]

Feedback:
","Focus on the urologic area, not the liver."
left hand points to the liver,[left hand],[NONE],[liver],"('[left hand]', '[NONE]', '[liver]')","IAT Triplet:
instrument: [left hand], action: [NONE], tissue: [liver]

Feedback:
",Avoid the liver; focus on urologic structures.
"slide to the end, push it in more",[NONE],"[slide, push]",[NONE],"('[NONE]', '[slide, push]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [slide, push], tissue: [NONE]

Feedback:
",Ensure smooth and controlled movements during the slide and push actions.
"not your right hand, your left hand","[left hand, right hand]",[NONE],[NONE],"('[left hand, right hand]', '[NONE]', '[NONE]')","IAT Triplet:
instrument: [left hand, right hand], action: [NONE], tissue: [NONE]

Feedback:
",Maintain awareness of both instruments' positions.
hold up,[NONE],[hold up],[NONE],"('[NONE]', '[hold up]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [hold up], tissue: [NONE]

Feedback:
",Maintain current position and await further instructions.
"i think we should grab the tail of the kidney and bring it down and up, down and up (talking about how to pull out kidney)",[NONE],"[grab, bring down, bring up]",[kidney],"('[NONE]', '[grab, bring down, bring up]', '[kidney]')","IAT Triplet:
instrument: [NONE], action: [grab, bring down, bring up], tissue: [kidney]

Feedback:
",Adjust your approach to the kidney without specific instrument guidance.
find the line thats working,[NONE],[find],[NONE],"('[NONE]', '[find]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [find], tissue: [NONE]

Feedback:
",Identify the target area before proceeding.
go right here,[NONE],[go right],[NONE],"('[NONE]', '[go right]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [go right], tissue: [NONE]

Feedback:
",Adjust your movement to the right.
clean around the ureter then we can put the weck around it,[weck],"[clean, put]",[ureter],"('[weck]', '[clean, put]', '[ureter]')","IAT Triplet:
instrument: [weck], action: [clean, put], tissue: [ureter]

Feedback:
",Clean and position the ureter with the weck.
go there,[NONE],[go],[NONE],"('[NONE]', '[go]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [go], tissue: [NONE]

Feedback:
",Proceed with caution and maintain awareness of the surgical field.
put your ___ and needle driver into it,[needle driver],[put],[NONE],"('[needle driver]', '[put]', '[NONE]')","IAT Triplet:
instrument: [needle driver], action: [put], tissue: [NONE]

Feedback:
",Position the needle driver accurately for the next step.
buzz off buzz off buzz off,[NONE],[buzz off],[NONE],"('[NONE]', '[buzz off]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [buzz off], tissue: [NONE]

Feedback:
",Clarify the action and tissue before proceeding.
move over here,[NONE],[move],[NONE],"('[NONE]', '[move]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [move], tissue: [NONE]

Feedback:
",Proceed with caution while moving.
hold the weck back,[weck],[hold back],[NONE],"('[weck]', '[hold back]', '[NONE]')","IAT Triplet:
instrument: [weck], action: [hold back], tissue: [NONE]

Feedback:
",Use the weck to hold back tissue gently.
now you're going to go back here.... (guiding),[NONE],[go back],[NONE],"('[NONE]', '[go back]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [go back], tissue: [NONE]

Feedback:
",Retrace your steps carefully.
"just use it as a blade, just go back and forth, don't cut",[BLADE],"[use, go back and forth, don't cut]",[NONE],"('[BLADE]', ""[use, go back and forth, don't cut]"", '[NONE]')","IAT Triplet:
instrument: [BLADE], action: [use, go back and forth, don't cut], tissue: [NONE]

Feedback:
",Use the blade with a back-and-forth motion without cutting.
"you can close it, close your scissors and go, or you can do it like that, doesn't matter",[scissors],"[close, go, do]",[NONE],"('[scissors]', '[close, go, do]', '[NONE]')","IAT Triplet:
instrument: [scissors], action: [close, go, do], tissue: [NONE]

Feedback:
",Close the scissors carefully.
back up with your camera,[camera],[back up],[NONE],"('[camera]', '[back up]', '[NONE]')","IAT Triplet:
instrument: [camera], action: [back up], tissue: [NONE]

Feedback:
",Back up the camera for a broader view.
you can go down more,[NONE],[go down more],[NONE],"('[NONE]', '[go down more]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [go down more], tissue: [NONE]

Feedback:
",Adjust your approach and proceed downward carefully.
"and if you need to adjust your retraction, do it",[retractor],[adjust],[NONE],"('[retractor]', '[adjust]', '[NONE]')","IAT Triplet:
instrument: [retractor], action: [adjust], tissue: [NONE]

Feedback:
",Adjust the retractor for optimal exposure.
so I would extend it from here down,[NONE],[extend it from here down],[NONE],"('[NONE]', '[extend it from here down]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [extend it from here down], tissue: [NONE]

Feedback:
",Extend it from here down.
"from here, don't go all the way up there",[NONE],[don't go],[NONE],"('[NONE]', ""[don't go]"", '[NONE]')","IAT Triplet:
instrument: [NONE], action: [don't go], tissue: [NONE]

Feedback:
",Pause and reassess the situation.
"yup, go",[NONE],[go],[NONE],"('[NONE]', '[go]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [go], tissue: [NONE]

Feedback:
",Proceed with caution and maintain awareness of the surgical field.
"no, you keep cutting",[NONE],[keep cutting],[NONE],"('[NONE]', '[keep cutting]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [keep cutting], tissue: [NONE]

Feedback:
",Continue cutting with precision.
get a little more retraction,[retractor],[get more retraction],[NONE],"('[retractor]', '[get more retraction]', '[NONE]')","IAT Triplet:
instrument: [retractor], action: [get more retraction], tissue: [NONE]

Feedback:
",Use the retractor to achieve better exposure.
"there you go, keep going",[NONE],[keep going],[NONE],"('[NONE]', '[keep going]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [keep going], tissue: [NONE]

Feedback:
",Continue with the current procedure.
make sure you keep the midline,[NONE],[keep],[NONE],"('[NONE]', '[keep]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [keep], tissue: [NONE]

Feedback:
",Maintain current position.
stop cutting,[NONE],[stop],[NONE],"('[NONE]', '[stop]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [stop], tissue: [NONE]

Feedback:
",Pause and reassess the situation.
"okay, keep going down",[NONE],[keep going down],[NONE],"('[NONE]', '[keep going down]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [keep going down], tissue: [NONE]

Feedback:
",Continue your downward movement.
"looks like you're about to pop in right here, yup, so get in now",[NONE],[get in],[NONE],"('[NONE]', '[get in]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [get in], tissue: [NONE]

Feedback:
",Proceed with caution and ensure proper positioning.
your needle is spinning,[needle],[NONE],[NONE],"('[needle]', '[NONE]', '[NONE]')","IAT Triplet:
instrument: [needle], action: [NONE], tissue: [NONE]

Feedback:
",Position the needle for the next step.
"this is a nice, juicy gland",[NONE],[NONE],[gland],"('[NONE]', '[NONE]', '[gland]')","IAT Triplet:
instrument: [NONE], action: [NONE], tissue: [gland]

Feedback:
",Focus on the gland for precise dissection.
small detrusor,[NONE],[NONE],[detrusor muscle],"('[NONE]', '[NONE]', '[detrusor muscle]')","IAT Triplet:
instrument: [NONE], action: [NONE], tissue: [detrusor muscle]

Feedback:
",Focus on the detrusor muscle.
"keep getting those bands off, slowly",[NONE],"[keep getting, slowly]",[NONE],"('[NONE]', '[keep getting, slowly]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [keep getting, slowly], tissue: [NONE]

Feedback:
",Maintain steady progress.
scrape it off,[NONE],[scrape],[NONE],"('[NONE]', '[scrape]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [scrape], tissue: [NONE]

Feedback:
",Clarify the target tissue before proceeding with the scraping action.
keep going in there,[NONE],[keep going],[NONE],"('[NONE]', '[keep going]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [keep going], tissue: [NONE]

Feedback:
",Continue with the current procedure.
"good, get those bands off",[NONE],[get off],[NONE],"('[NONE]', '[get off]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [get off], tissue: [NONE]

Feedback:
",Adjust your positioning for optimal access.
"get hemostasis there, right next to that",[NONE],[get hemostasis],[NONE],"('[NONE]', '[get hemostasis]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [get hemostasis], tissue: [NONE]

Feedback:
",Ensure hemostasis is achieved effectively.
stay up against the adenoma,[NONE],[stay up],[adenoma],"('[NONE]', '[stay up]', '[adenoma]')","IAT Triplet:
instrument: [NONE], action: [stay up], tissue: [adenoma]

Feedback:
",Maintain elevation of the adenoma.
